area,win_loss_ratio,pop
Atlanta,0.4375,5789700.0
Baltimore,0.625,2798886.0
Boston,0.6875,4794447.0
Buffalo,0.375,1132804.0
Charlotte,0.4375,2474314.0
Chicago,0.75,9512999.0
Cincinnati,0.375,2165139.0
Cleveland,0.4666666666666667,2055612.0
Dallas–Fort Worth,0.625,7233323.0
Denver,0.375,2853077.0
Detroit,0.375,4297617.0
Green Bay,0.4,318236.0
Houston,0.6875,6772470.0
Indianapolis,0.625,2004230.0
Jacksonville,0.3125,1478212.0
Kansas City,0.75,2104509.0
Los Angeles,0.78125,13310447.0
Miami–Fort Lauderdale,0.4375,6066387.0
Minneapolis–Saint Paul,0.5333333333333333,3551036.0
Nashville,0.5625,1865298.0
New Orleans,0.8125,1268883.0
New York City,0.28125,20153634.0
Philadelphia,0.5625,6070500.0
Phoenix,0.1875,4661537.0
Pittsburgh,0.6,2342299.0
San Francisco Bay Area,0.25,6657982.0
Seattle,0.625,3798902.0
Tampa Bay Area,0.3125,3032171.0
"Washington, D.C.",0.4375,6131977.0
